# Server version 0.08 running on asavpn23587.vpn.mcgill.ca:8123
# Game ID: 183
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Fri Feb 19 22:32:26 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on asavpn23587.vpn.mcgill.ca
# Player 2: Player-1, 'JianHua-AlphaBeta', running on asavpn23587.vpn.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 JianHua-AlphaBeta
PIT 0 18
PIT 1 20
PIT 0 2
PIT 1 19
PIT 0 1
PIT 1 20
PIT 0 8
PIT 1 16
PIT 0 15
PIT 1 10
PIT 0 0
PIT 1 21
PIT 0 18
PIT 1 20
PIT 0 20
PIT 1 23
PIT 0 27
PIT 1 4
PIT 0 28
PIT 1 10
PIT 0 29
PIT 1 13
GAMEOVER WINNER 1
# Game ended: Fri Feb 19 22:32:33 EST 2016
