# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1600
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Thu Apr 07 11:08:01 EDT 2016
# Player 1: Player-0, 'Test7', running on 192.168.0.100
# Player 2: Player-1, 'WeightTest5', running on 192.168.0.100
START Player-0 Test7
START Player-1 WeightTest5
PIT 0 23
PIT 1 22
PIT 0 22
PIT 1 4
PIT 0 25
PIT 1 16
PIT 0 18
PIT 1 25
PIT 0 21
PIT 1 18
PIT 0 28
PIT 1 28
PIT 0 27
PIT 1 29
PIT 0 1
PIT 1 31
PIT 0 22
PIT 1 1
PIT 0 10
PIT 1 30
PIT 0 12
PIT 1 27
PIT 0 11
PIT 1 3
PIT 0 16
PIT 1 8
PIT 0 0
PIT 1 12
PIT 0 10
PIT 1 6
PIT 0 25
PIT 1 4
PIT 0 23
PIT 1 13
PIT 0 21
PIT 1 16
PIT 0 9
PIT 1 8
PIT 0 29
PIT 1 15
PIT 0 14
PIT 1 18
PIT 0 19
PIT 1 20
PIT 0 21
PIT 1 19
PIT 0 18
PIT 1 7
PIT 0 10
PIT 1 21
PIT 0 20
GAMEOVER WINNER 0
# Game ended: Thu Apr 07 11:09:02 EDT 2016
