# Server version 0.08 running on asavpn23444.vpn.mcgill.ca:8123
# Game ID: 31
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Feb 17 19:17:54 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, 'JianHua', running on localhost
START Player-0 RandomHusPlayer
START Player-1 JianHua
PIT 0 17
PIT 1 23
PIT 0 23
PIT 1 20
PIT 0 3
PIT 1 24
PIT 0 20
PIT 1 16
PIT 0 4
PIT 1 27
PIT 0 6
PIT 1 30
PIT 0 7
PIT 1 9
PIT 0 0
PIT 1 30
PIT 0 1
PIT 1 31
PIT 0 3
PIT 1 19
PIT 0 9
PIT 1 31
PIT 0 11
PIT 1 19
PIT 0 13
PIT 1 31
PIT 0 12
PIT 1 30
PIT 0 15
PIT 1 27
GAMEOVER WINNER 1
# Game ended: Wed Feb 17 19:17:54 EST 2016
