# Server version 0.08 running on wpa078252.wireless.mcgill.ca:8123
# Game ID: 1517
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Wed Apr 06 12:44:04 EDT 2016
# Player 1: Player-0, 'WeightTest8', running on wpa078252.wireless.mcgill.ca
# Player 2: Player-1, 'Test', running on wpa078252.wireless.mcgill.ca
START Player-0 WeightTest8
START Player-1 Test
PIT 0 23
PIT 1 20
PIT 0 22
PIT 1 1
PIT 0 19
PIT 1 21
PIT 0 24
PIT 1 7
PIT 0 18
PIT 1 26
PIT 0 23
PIT 1 30
PIT 0 27
PIT 1 31
PIT 0 26
PIT 1 1
PIT 0 20
PIT 1 25
PIT 0 10
PIT 1 18
PIT 0 21
PIT 1 6
PIT 0 3
PIT 1 0
PIT 0 28
PIT 1 28
PIT 0 10
PIT 1 29
PIT 0 30
PIT 1 5
PIT 0 25
PIT 1 6
PIT 0 16
PIT 1 3
PIT 0 26
PIT 1 7
PIT 0 28
PIT 1 9
PIT 0 2
PIT 1 8
PIT 0 23
PIT 1 15
PIT 0 24
PIT 1 12
PIT 0 30
PIT 1 13
PIT 0 20
PIT 1 11
PIT 0 7
PIT 1 14
PIT 0 24
GAMEOVER WINNER 0
# Game ended: Wed Apr 06 12:44:34 EDT 2016
