# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1200
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Wed Mar 23 08:44:30 EDT 2016
# Player 1: Player-0, 'Test4', running on localhost
# Player 2: Player-1, 'WeightTest6', running on localhost
START Player-0 Test4
START Player-1 WeightTest6
PIT 0 23
PIT 1 22
PIT 0 4
PIT 1 4
PIT 0 25
PIT 1 7
PIT 0 13
PIT 1 13
PIT 0 17
PIT 1 16
PIT 0 14
PIT 1 21
PIT 0 15
PIT 1 18
PIT 0 22
PIT 1 17
PIT 0 19
PIT 1 24
PIT 0 18
PIT 1 28
PIT 0 25
PIT 1 29
PIT 0 29
PIT 1 27
PIT 0 17
PIT 1 26
PIT 0 21
PIT 1 30
PIT 0 24
PIT 1 2
PIT 0 5
PIT 1 29
PIT 0 20
PIT 1 5
PIT 0 14
PIT 1 3
PIT 0 31
PIT 1 9
PIT 0 20
