# Server version 0.08 running on wpa079042.wireless.mcgill.ca:8123
# Game ID: 133
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Feb 19 12:38:08 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'JianHua-MiniMax', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 JianHua-MiniMax
PIT 0 6
PIT 1 6
PIT 0 12
PIT 1 18
PIT 0 7
PIT 1 21
PIT 0 13
PIT 1 9
PIT 0 15
PIT 1 23
PIT 0 22
PIT 1 13
PIT 0 16
PIT 1 14
PIT 0 17
PIT 1 16
PIT 0 19
PIT 1 17
PIT 0 22
PIT 1 18
PIT 0 23
PIT 1 19
PIT 0 21
PIT 1 3
PIT 0 3
PIT 1 21
PIT 0 1
PIT 1 24
PIT 0 30
PIT 1 1
PIT 0 7
PIT 1 5
PIT 0 8
PIT 1 0
PIT 0 24
PIT 1 11
PIT 0 29
PIT 1 12
PIT 0 31
PIT 1 2
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 8
PIT 0 11
PIT 1 1
GAMEOVER WINNER 1
# Game ended: Fri Feb 19 12:38:15 EST 2016
