# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1771
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Sat Apr 30 20:23:33 EDT 2016
# Player 1: Player-0, 'MCTS', running on 192.168.0.100
# Player 2: Player-1, '260351181', running on 192.168.0.100
START Player-0 MCTS
START Player-1 260351181
PIT 0 0
PIT 1 20
PIT 0 6
PIT 1 13
PIT 0 10
PIT 1 19
PIT 0 25
PIT 1 6
PIT 0 4
PIT 1 16
PIT 0 20
PIT 1 5
PIT 0 25
PIT 1 3
PIT 0 19
GAMEOVER USER CANCEL UNDECIDED
# Game ended: Sat Apr 30 20:24:00 EDT 2016
