# Server version 0.08 running on asavpn23584.vpn.mcgill.ca:8123
# Game ID: 249
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sat Feb 20 11:25:58 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on asavpn23584.vpn.mcgill.ca
# Player 2: Player-1, 'JianHua-test', running on asavpn23584.vpn.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 JianHua-test
PIT 0 21
PIT 1 22
PIT 0 15
PIT 1 1
PIT 0 9
PIT 1 20
PIT 0 4
PIT 1 19
PIT 0 19
PIT 1 10
PIT 0 3
PIT 1 11
PIT 0 22
PIT 1 18
PIT 0 1
PIT 1 21
PIT 0 2
PIT 1 20
PIT 0 3
PIT 1 1
PIT 0 12
PIT 1 24
PIT 0 4
PIT 1 27
PIT 0 7
PIT 1 22
PIT 0 8
PIT 1 23
PIT 0 9
PIT 1 10
PIT 0 10
PIT 1 26
PIT 0 0
PIT 1 29
GAMEOVER WINNER 1
# Game ended: Sat Feb 20 11:26:06 EST 2016
