# Server version 0.08 running on wpa079127.wireless.mcgill.ca:8123
# Game ID: 13
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Feb 15 14:32:13 EST 2016
# Player 1: Player-0, 'xxxxxxxxx', running on wpa079127.wireless.mcgill.ca
# Player 2: Player-1, 'RandomHusPlayer', running on wpa079127.wireless.mcgill.ca
START Player-0 xxxxxxxxx
START Player-1 RandomHusPlayer
PIT 0 23
PIT 1 1
PIT 0 22
PIT 1 20
PIT 0 24
PIT 1 19
PIT 0 15
PIT 1 4
PIT 0 17
PIT 1 22
PIT 0 19
PIT 1 13
PIT 0 16
GAMEOVER WINNER 0
# Game ended: Mon Feb 15 14:32:13 EST 2016
