# Server version 0.08 running on asavpn234194.vpn.mcgill.ca:8123
# Game ID: 1863
# Board class: hus.HusBoard
# Timeout: 15000
# First Move Timeout: 30000
# Date: Fri May 20 15:26:48 EDT 2016
# Player 1: Player-0, 'AlphaBetaOriginal', running on asavpn234194.vpn.mcgill.ca
# Player 2: Player-1, 'AlphaBetaOptimized', running on asavpn234194.vpn.mcgill.ca
START Player-0 AlphaBetaOriginal
START Player-1 AlphaBetaOptimized
PIT 0 0
PIT 1 20
PIT 0 7
PIT 1 1
PIT 0 9
PIT 1 19
PIT 0 22
PIT 1 10
PIT 0 16
PIT 1 20
PIT 0 17
PIT 1 8
PIT 0 18
PIT 1 23
PIT 0 15
PIT 1 24
PIT 0 12
PIT 1 29
PIT 0 20
PIT 1 12
PIT 0 23
PIT 1 17
PIT 0 29
PIT 1 19
PIT 0 31
PIT 1 23
PIT 0 26
PIT 1 18
PIT 0 11
PIT 1 10
PIT 0 27
PIT 1 15
PIT 0 3
PIT 1 17
PIT 0 4
PIT 1 19
PIT 0 0
PIT 1 31
PIT 0 6
PIT 1 23
PIT 0 9
PIT 1 20
PIT 0 10
PIT 1 24
PIT 0 11
PIT 1 5
PIT 0 14
PIT 1 29
GAMEOVER WINNER 1
# Game ended: Fri May 20 15:27:34 EDT 2016
