# Server version 0.08 running on wpa151102.wireless.mcgill.ca:8123
# Game ID: 1130
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Mon Mar 21 11:54:52 EDT 2016
# Player 1: Player-0, 'WeightTest6', running on localhost
# Player 2: Player-1, '260351181', running on localhost
START Player-0 WeightTest6
START Player-1 260351181
PIT 0 22
PIT 1 23
PIT 0 21
PIT 1 1
PIT 0 20
PIT 1 2
PIT 0 25
PIT 1 4
PIT 0 11
PIT 1 10
PIT 0 23
PIT 1 19
PIT 0 25
PIT 1 6
PIT 0 28
PIT 1 23
PIT 0 1
PIT 1 12
PIT 0 20
PIT 1 0
PIT 0 27
PIT 1 22
PIT 0 10
PIT 1 9
PIT 0 25
GAMEOVER WINNER 0
# Game ended: Mon Mar 21 11:55:12 EDT 2016
