# Server version 0.08 running on wpa079042.wireless.mcgill.ca:8123
# Game ID: 164
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Feb 19 14:13:17 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on wpa079042.wireless.mcgill.ca
# Player 2: Player-1, 'RandomHusPlayer', running on wpa079042.wireless.mcgill.ca
START Player-0 JianHua-AlphaBeta
START Player-1 RandomHusPlayer
PIT 0 6
PIT 1 6
PIT 0 3
PIT 1 18
PIT 0 4
PIT 1 22
PIT 0 15
PIT 1 12
PIT 0 22
PIT 1 20
PIT 0 16
PIT 1 13
PIT 0 27
PIT 1 4
PIT 0 29
PIT 1 1
PIT 0 31
PIT 1 10
PIT 0 0
PIT 1 0
PIT 0 5
PIT 1 4
PIT 0 7
PIT 1 5
PIT 0 3
PIT 1 6
PIT 0 4
PIT 1 7
PIT 0 9
PIT 1 17
PIT 0 12
PIT 1 18
PIT 0 11
PIT 1 21
PIT 0 5
PIT 1 9
PIT 0 15
PIT 1 1
PIT 0 16
PIT 1 28
PIT 0 17
PIT 1 27
PIT 0 18
PIT 1 30
PIT 0 21
PIT 1 23
GAMEOVER WINNER 1
# Game ended: Fri Feb 19 14:13:24 EST 2016
